Title,Author,NumPages,Genre,Summary,
Inherit The Wind,Jerome Lawrence and Robert E. Lee,144,Thriller,"A meaningful play based on the Scopes Monkey Trial of 1925, in which a Tennessee teacher was tried for teaching evolution. The accused was a slight, frightened man who'd deliberately broken the law. ",
Inheritance,"Paolini, Christopher",704,Fantasy,"Not so very long ago, Eragon — Shadeslayer, Dragon Rider — was nothing more than a poor farm boy, and his dragon, Saphira, only a blue stone in the forest. Now the fate of an entire civilization rests on their shoulders.",
Innovation and Entrepreneurship,Drucker,288,Non-fiction,This is the first book to present innovation and entrepreneurship as a purposeful and systematic discipline that explains and analyzes the challenges and opportunities of America's new entrepreneurial economy. ,
Innovation Killers: How Financial Tools Destroy Your Capacity to Do New Things,Christensen,64,Non-fiction,"In this seminal article, innovation experts Clayton Christensen, Stephen P. Kaufman, and Willy C. Shih explore the key reasons why companies struggle to innovate. ",
Interpreter of Maladies,Lahiri,198,Fiction,Interpreter of Maladies is a book collection of nine short stories by American author of Indian origin Jhumpa Lahiri published in 1999.,
Invisible Man,Ellison,624,Literary Fiction,"Invisible Man is the story of a young, college-educated black man struggling to survive and succeed in a racially divided society that refuses to see him as a human being.",
Invitation to a Beheading,Vladimir Nabokov,240,Mystery,"Like Kafka's The Castle, Invitation to a Beheading embodies a vision of a bizarre and irrational world. In an unnamed dream country, the young man Cincinnatus C. is condemned to death by beheading for ""gnostical turpitude"", an imaginary crime that defies definition. ",
Islam: A Short Guide to the Faith,"Allen, Toorawa",200,Non-fiction,"In this straightforward and authoritative collection of fifteen essays -- each by a different, specialized expert in the field -- readers will encounter all the major elements of Islam, including its history, its beliefs, its practices, and its interactions, notably with Christianity, Judaism, and the modern world.",
Jitterbug Perfume,Tom Robbins,352,Fantasy,"Jitterbug Perfume is an epic, which is to say, it begins in the forests of ancient Bohemia and doesn't conclude until nine o'clock tonight [Paris time]. It is a saga, as well. A saga must have a hero, and the hero of this one is a janitor with a missing bottle. ",
Kabul Beauty School: An American Woman Goes Behind the Veil,Deborah Rodriguez,320,Non-fiction,"Soon after the fall of the Taliban, in 2001, Deborah Rodriguez went to Afghanistan as part of a group offering humanitarian aid to this war-torn nation. Surrounded by men and women whose skills–as doctors, nurses, and therapists–seemed eminently more practical than her own, Rodriguez, a hairdresser and mother of two from Michigan, despaired of being of any real use. ",
Kafka On the Shore,Murakami,480,Fiction,"Kafka on the Shore, a tour de force of metaphysical reality, is powered by two remarkable characters: a teenage boy, Kafka Tamura, who runs away from home either to escape a gruesome oedipal prophecy or to search for his long-missing mother and sister; and an aging simpleton called Nakata, who never recovered from a wartime affliction and now is drawn toward Kafka for reasons that, like the most basic activities of daily life, he cannot fathom.",
Kiss the Girls,James Patterson,481,Mystery,"Alex Cross is back. In Los Angeles, a reporter investigating a series of murders is killed.",
Lady in the Lake,Raymond Chandler,272,Mystery,A couple of missing wives—one a rich man's and one a poor man's—become the objects of Marlowe's investigation. One of them may have gotten a Mexican divorce and married a gigolo and the other may be dead.,
Laughter in the Dark,Vladimir Nabokov,308,Fiction,"""Once upon a time there lived in Berlin, Germany, a man called Albinus. He was rich, respectable, happy; one day he abandoned his wife for the sake of a youthful mistress; he loved; was not loved; and his life ended in disaster.""",
Lies that Chelsea Handler Told Me (A Chelsea Handler Book/Borderline Amazing Publishing),Chelsea Handler,304,War,A reluctant war hero returns home and encounters a new chance at love. No sooner has Shawn Collins returned home from the fighting in Europe than he is called upon to serve his country in another way--as a speaker on the war bond tour. ,
